,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
162,120.0,0.4999999999999982,0.11942499317444999,0.13257751264292883,0.1485,0.0795,0.119
163,120.0,1.0000000000000009,0.17468341131621523,0.20125078665174953,0.422,0.229,0.323
164,120.0,1.4999999999999991,0.25313475150845355,0.29609335807933257,0.768,0.4855,0.627
165,120.0,2.0000000000000018,0.33752272255385446,0.38257887012417824,0.9365,0.753,0.8285
166,120.0,2.5,0.41964128260784683,0.483070141971521,0.9895,0.9065,0.9565
167,120.0,2.9999999999999982,0.5078542007587721,0.5654737784492334,0.998,0.981,0.992
168,120.0,3.5000000000000013,0.5954872320969954,0.6566222930318625,1.0,0.999,0.9995
169,120.0,3.9999999999999987,0.6815970453831881,0.7370449627992804,1.0,1.0,1.0
170,120.0,5.0,0.8612233482272693,0.9104657042735246,1.0,1.0,1.0
171,120.0,6.000000000000001,1.0366969452040695,1.0747535341619103,1.0,1.0,1.0
172,120.0,7.999999999999997,1.394617176744572,1.3594828648472141,1.0,1.0,1.0
173,120.0,10.0,1.7472407704745458,1.6340822649139972,1.0,1.0,1.0
174,120.0,12.000000000000002,2.099119679933628,1.8617068679539146,1.0,1.0,1.0
175,130.0,0.0,0.09373447334019043,0.09686063707710119,0.0195,0.018,0.0205
176,130.0,0.4999999999999982,0.11446760105409914,0.12643970685188888,0.1455,0.085,0.1105
177,130.0,1.0000000000000009,0.17306078411186443,0.20452115341669325,0.449,0.2355,0.355
178,130.0,1.4999999999999991,0.25499008877043655,0.2918528381038735,0.8065,0.5115,0.6525
179,130.0,2.0000000000000018,0.3368454749696441,0.3889351299580388,0.9615,0.783,0.877
180,130.0,2.5,0.42099662468699317,0.4761004856752367,0.9985,0.937,0.969
181,130.0,2.9999999999999982,0.5102945635719924,0.5701589522930784,1.0,0.9855,0.997
182,130.0,3.5000000000000013,0.593103072651664,0.6539394526561295,1.0,0.999,0.9995
183,130.0,3.9999999999999987,0.6784776286440815,0.7429731307268341,1.0,1.0,1.0
184,130.0,5.0,0.8647913958024169,0.9078833470986583,1.0,1.0,1.0
185,130.0,6.000000000000001,1.0370696946407694,1.0657968744148312,1.0,1.0,1.0
186,130.0,7.999999999999997,1.3965738402289414,1.3603040227990013,1.0,1.0,1.0
187,130.0,10.0,1.7494418909461424,1.6245013180065189,1.0,1.0,1.0
188,130.0,12.000000000000002,2.09242439125953,1.8617109789131467,1.0,1.0,1.0
189,140.0,0.0,0.0891665752192627,0.09234404338622453,0.021,0.019,0.021
190,140.0,0.4999999999999982,0.11153431020433198,0.12168704148748678,0.1365,0.083,0.1145
191,140.0,1.0000000000000009,0.1734148774987912,0.19689567824363985,0.468,0.2715,0.3595
192,140.0,1.4999999999999991,0.25035733237259566,0.2937919619838286,0.8315,0.5575,0.7005
193,140.0,2.0000000000000018,0.33664436433280653,0.3850287208694637,0.971,0.8115,0.8965
194,140.0,2.5,0.42046394757621297,0.4788708383846864,0.9975,0.943,0.98
195,140.0,2.9999999999999982,0.5057945147544747,0.569368593585655,0.9995,0.993,0.9965
196,140.0,3.5000000000000013,0.5954172644782394,0.6550992738244793,1.0,0.9995,0.9995
197,140.0,3.9999999999999987,0.684363318857888,0.7393048853238218,1.0,1.0,1.0
198,140.0,5.0,0.8582948253116847,0.9082348106804972,1.0,1.0,1.0
199,140.0,6.000000000000001,1.036327028838346,1.0628248688674407,1.0,1.0,1.0
200,140.0,7.999999999999997,1.3955906152595798,1.3639495446368795,1.0,1.0,1.0
201,140.0,10.0,1.7533966659236346,1.6332171074807285,1.0,1.0,1.0
202,140.0,12.000000000000002,2.0913360375203456,1.8540528368288198,1.0,1.0,1.0
203,150.0,0.0,0.08814174870135454,0.09112124803125,0.022333333333333334,0.019166666666666665,0.022333333333333334
204,150.0,0.4999999999999982,0.11249664432796039,0.12463616950585979,0.176,0.0835,0.14
205,150.0,1.0000000000000009,0.1707204904568428,0.20211828600974382,0.51075,0.2715,0.40375
206,150.0,1.4999999999999991,0.2498371808136502,0.2918883851682457,0.839,0.5775,0.7195
207,150.0,2.0000000000000018,0.3355166502460648,0.38535559262432073,0.9798333333333333,0.8366666666666667,0.9143333333333333
208,150.0,2.5,0.4240670037965109,0.47217219674973926,1.0,0.962,0.987
209,150.0,2.9999999999999982,0.5086691964125223,0.5667690453929376,0.99975,0.99575,0.99825
210,150.0,3.5000000000000013,0.5929710715434153,0.6548773998660096,1.0,0.9995,1.0
211,150.0,3.9999999999999987,0.6842327695051084,0.7402817933942776,1.0,1.0,1.0
212,150.0,5.0,0.8551606839684274,0.9098044241771565,1.0,1.0,1.0
213,150.0,6.000000000000001,1.0343699760440006,1.0662682596921835,1.0,1.0,1.0
214,150.0,7.999999999999997,1.3969926834561408,1.3625215369558783,1.0,1.0,1.0
215,150.0,10.0,1.750568622702522,1.6178749197746733,1.0,1.0,1.0
216,150.0,12.000000000000002,2.0958545442394874,1.8620310360458083,1.0,1.0,1.0
217,200.0,0.0,0.07383561836539697,0.07922338681074806,0.022,0.022,0.024
218,200.0,0.4999999999999982,0.10144553527824171,0.11467729633366175,0.198,0.1015,0.1635
219,200.0,1.0000000000000009,0.16693416286520013,0.19888337546657742,0.637,0.3665,0.491
220,200.0,1.4999999999999991,0.2522255244678141,0.29039735560225444,0.923,0.71,0.8205
221,200.0,2.0000000000000018,0.3327554850481495,0.3830492714315812,0.9945,0.9245,0.9705
222,200.0,2.5,0.42280716157856013,0.48013946248290934,1.0,0.994,0.999
223,200.0,2.9999999999999982,0.5059331827392131,0.5707413219044944,1.0,0.9985,1.0
224,200.0,3.5000000000000013,0.5950101858506754,0.6513168866790326,1.0,1.0,1.0
225,200.0,3.9999999999999987,0.684211474499525,0.7390552362143693,1.0,1.0,1.0
226,200.0,5.0,0.8577981756143975,0.9096604630414264,1.0,1.0,1.0
227,200.0,6.000000000000001,1.035038800475574,1.0631473863847438,1.0,1.0,1.0
228,200.0,7.999999999999997,1.3914067103980685,1.357409607636622,1.0,1.0,1.0
229,200.0,10.0,1.7451993533708559,1.6215285990312387,1.0,1.0,1.0
230,200.0,12.000000000000002,2.093613230436423,1.864435207875421,1.0,1.0,1.0
231,250.0,0.0,0.06736989318447723,0.06906814907411951,0.024,0.0195,0.0195
232,250.0,0.4999999999999982,0.09544700883966675,0.11345752019080035,0.259,0.121,0.2015
233,250.0,1.0000000000000009,0.16529413599422382,0.19564785443112281,0.719,0.4395,0.588
234,250.0,1.4999999999999991,0.2524299394596686,0.29283518219029236,0.977,0.816,0.9175
235,250.0,2.0000000000000018,0.33417476711541716,0.3851822416253214,0.9985,0.97,0.992
236,250.0,2.5,0.42064373967540475,0.47600093253041625,1.0,0.997,1.0
237,250.0,2.9999999999999982,0.5072064710970231,0.5644394879109272,1.0,1.0,1.0
238,250.0,3.5000000000000013,0.5940064720396142,0.6557993657895264,1.0,1.0,1.0
239,250.0,3.9999999999999987,0.6810387538641615,0.7393020375611435,1.0,1.0,1.0
240,250.0,5.0,0.8564220532017841,0.9078104083965709,1.0,1.0,1.0
241,250.0,6.000000000000001,1.036324286453011,1.065754184627677,1.0,1.0,1.0
242,250.0,7.999999999999997,1.3939665590775003,1.360775307098299,1.0,1.0,1.0
243,250.0,10.0,1.7456440021245547,1.6272794529055363,1.0,1.0,1.0
244,250.0,12.000000000000002,2.0970116039766222,1.8560586075855376,1.0,1.0,1.0
245,300.0,0.0,0.06169687487674578,0.0631584832516675,0.0205,0.01825,0.0205
246,300.0,0.4999999999999982,0.0948883429941472,0.10715332692689057,0.289,0.163,0.213
247,300.0,1.0000000000000009,0.16342651485465137,0.19668577703051668,0.80775,0.50525,0.67575
248,300.0,1.4999999999999991,0.2520346014712174,0.29223570226102463,0.9825,0.8885,0.944
249,300.0,2.0000000000000018,0.3355247448421414,0.3843196750726576,1.0,0.98775,0.9985
250,300.0,2.5,0.41896715617215646,0.48040819562482484,1.0,0.999,1.0
251,300.0,2.9999999999999982,0.5050419736102815,0.5682981498716511,1.0,1.0,1.0
252,300.0,3.5000000000000013,0.5955754234276788,0.6535903612628359,1.0,1.0,1.0
253,300.0,3.9999999999999987,0.6821151210816304,0.7416785286157401,1.0,1.0,1.0
254,300.0,5.0,0.8564534811377256,0.9061753679309417,1.0,1.0,1.0
255,300.0,6.000000000000001,1.0383234348664416,1.067258091822494,1.0,1.0,1.0
256,300.0,7.999999999999997,1.3919198357619167,1.3587357747210338,1.0,1.0,1.0
257,300.0,10.0,1.7458797157575137,1.625744245530425,1.0,1.0,1.0
258,300.0,12.000000000000002,2.0919064189445407,1.8598079859114716,1.0,1.0,1.0
259,350.0,0.0,0.058784304105697974,0.05931929431742768,0.0255,0.0205,0.0215
260,350.0,0.4999999999999982,0.09057939726178282,0.10680141253553656,0.325,0.1825,0.255
261,350.0,1.0000000000000009,0.16547576550785992,0.19631945219403743,0.8655,0.5895,0.739
262,350.0,1.4999999999999991,0.24954853553138223,0.2906442305525128,0.998,0.9065,0.97
